team,round,Q,answer,correct
Ali and Ilsi,1,1,forum,N
Bebe Yoda,1,1,Agora,N
Blue Taran-dactyls,1,1,Agropolis,Y
Clark and Kristen,1,1,Agoraphobia,N
Days of Auld Lang-xiety,1,1,agora (agoraphobia),N
Heyjin and Zack,1,1,Agora,N
Jess and Simon,1,1,What is an Agora?,Y
Losing 21 in 2021,1,1,Agoraphobia ,Y
Netflix and Quill,1,1,Agoraphobia,Y
Quaranteam 2020,1,1,Agoraphobia,Y
Ali and Ilsi,1,2,The breakfast club,N
Bebe Yoda,1,2,,N
Blue Taran-dactyls,1,2,The Breakfast Club,Y
Clark and Kristen,1,2,The Breakfast Club,N
Days of Auld Lang-xiety,1,2,the breakfast club ,N
Heyjin and Zack,1,2,The Breakfast Club,N
Jess and Simon,1,2,Who are the breakfast club?,Y
Losing 21 in 2021,1,2,The Breakfast Club,N
Netflix and Quill,1,2,The Breakfast Club,N
Quaranteam 2020,1,2,The Breakfast Club,N
Ali and Ilsi,1,3,12 days,N
Bebe Yoda,1,3,2 weeks,N
Blue Taran-dactyls,1,3,Twelve hours,N
Clark and Kristen,1,3,5 days ,N
Days of Auld Lang-xiety,1,3,24 hours,Y
Heyjin and Zack,1,3,Two days,N
Jess and Simon,1,3,What is 36 hours?,N
Losing 21 in 2021,1,3,Two days,Y
Netflix and Quill,1,3,3 days,N
Quaranteam 2020,1,3,1 week,N
Ali and Ilsi,1,4,Stanford Prison Project Condition,N
Bebe Yoda,1,4,Stockholm Syndrome,N
Blue Taran-dactyls,1,4,Stockholm Syndrome,Y
Clark and Kristen,1,4,Stokholm Syndrome,Y
Days of Auld Lang-xiety,1,4,stockholm syndrome,N
Heyjin and Zack,1,4,Stockholm Syndrome,N
Jess and Simon,1,4,What is Stockholm Syndrome?,Y
Losing 21 in 2021,1,4,Stockholm Syndrome,N
Netflix and Quill,1,4,Stockholm Syndrome,N
Quaranteam 2020,1,4,Stockholm Syndrome,N
Ali and Ilsi,1,5,tiger king,Y
Bebe Yoda,1,5,,N
Blue Taran-dactyls,1,5,Grey Gardens,Y
Clark and Kristen,1,5,The Aristocrats,Y
Days of Auld Lang-xiety,1,5,cat people????,N
