team,round,Q,answer,correct
"5,000 Candles in the Wind",1,1,Sussex,Y
Bébé Yoda,1,1,Cambridge,
Blue Taran-dactyls,1,1,Wessex,
Days of Auld Lang-xiety,1,1,Sussex,Y
Diminishing Returns,1,1,Windsor,
Losing 21 in 2021,1,1,Sussex,Y
Mile High Owls,1,1,Sussex,Y
Netflix & Quill,1,1,Sussex ,Y
Quaranteam 2020,1,1,Sussex,Y
Weens <();:::::::::::::::;~,1,1,Sussex,Y
Zack and Hyejin,1,1,York,
"5,000 Candles in the Wind",1,2,Burger King,
Bébé Yoda,1,2,Chick fillet,
Blue Taran-dactyls,1,2,Taco Bell ,
Days of Auld Lang-xiety,1,2,McDonald’s,
Diminishing Returns,1,2,McDonald’s,
Losing 21 in 2021,1,2,mcdonalds,
Mile High Owls,1,2,Taco Bell,
Netflix & Quill,1,2,Burger King,
Quaranteam 2020,1,2,Taco Bell,
Weens <();:::::::::::::::;~,1,2,Chick fil A,
Zack and Hyejin,1,2,Hardee’s ,
"5,000 Candles in the Wind",1,3,"Bend, OR. We’ve seen it with our own eyes!",Y
Bébé Yoda,1,3,Omaha,
Blue Taran-dactyls,1,3,"Anchorage, Alaska ",
Days of Auld Lang-xiety,1,3,"Spokane, Washington",
Diminishing Returns,1,3,"Anchorage, Alaska",
Losing 21 in 2021,1,3,"Bend, Oregon",Y
Mile High Owls,1,3,Eugene,
Netflix & Quill,1,3,"Spokane, Washington",
Quaranteam 2020,1,3,"Anchorage, Alaska",
Weens <();:::::::::::::::;~,1,3,Seattle,
Zack and Hyejin,1,3,Kansas City ,
"5,000 Candles in the Wind",1,4,Li’l Sebastian,
Bébé Yoda,1,4,No clue,
Blue Taran-dactyls,1,4,Tyreek Hill,
Days of Auld Lang-xiety,1,4,Patrick Maholms,Y
Diminishing Returns,1,4,Patrick Mahomes ,Y
Losing 21 in 2021,1,4,"Nick ""Big Dick"" Foles",
Mile High Owls,1,4,Patrick Mahomes,Y
Netflix & Quill,1,4,Mahomes,Y
Quaranteam 2020,1,4,Patrick Mahomes,Y
Weens <();:::::::::::::::;~,1,4,Patrick mahomes,Y
Zack and Hyejin,1,4,Dwight schrute,
"5,000 Candles in the Wind",1,5,Mouse Rat,
Bébé Yoda,1,5,Justin Timberlake ,
Blue Taran-dactyls,1,5,Bob Dylan,
Days of Auld Lang-xiety,1,5,Eminem - song was Lose Yourself!!!,Y
Diminishing Returns,1,5,Eminem,Y
Losing 21 in 2021,1,5,Elton John,
Mile High Owls,1,5,Bob Dylan,
Netflix & Quill,1,5,Elton John,
Quaranteam 2020,1,5,Eminem,Y
Weens <();:::::::::::::::;~,1,5,Eminem,Y
Zack and Hyejin,1,5,Eminem,Y
"5,000 Candles in the Wind",1,6,Short track speed skating national championships ,
Bébé Yoda,1,6,Grand prixe,
Blue Taran-dactyls,1,6,Daytona 500,Y
Days of Auld Lang-xiety,1,6,Daytona 500,Y
Diminishing Returns,1,6,Daytona 500,Y
Losing 21 in 2021,1,6,Daytona 500,Y
Mile High Owls,1,6,Indy 500,
Netflix & Quill,1,6,Tour de france,
Quaranteam 2020,1,6,Daytona 500,Y
Weens <();:::::::::::::::;~,1,6,Daytona 500,Y
Zack and Hyejin,1,6,Tour de france,
"5,000 Candles in the Wind",1,7,Rhode Island,
Bébé Yoda,1,7,Nevada,
